優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
遠東SOGO,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限100%。",2023/01/01,2023/12/31,無限卡/世界卡/御璽卡/鈦金卡
涮乃葉,刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
藝奇日本料理│岩板焼,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
12MINI快煮鍋,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
hot 7 鐵板燒,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
肉次方燒肉放題,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
太鼓判,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
和牛涮 日式鍋物放題,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
尬鍋台式潮鍋,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
王品牛排,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
PUTIEN 莆田,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
丰禾台式小館,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
嚮辣 和牛麻辣鍋,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
來滋烤鴨,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
最肉 燒肉餐酒館,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
初瓦 韓式料理,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
阪前和牛鐵板燒,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
台北六福萬怡酒店,最優85折起,2023/01/01,2023/12/31,
寒舍艾麗酒店,享85折優惠,2023/01/01,2023/12/31,
台北遠東香格里拉,享85折優惠,2023/01/01,2023/12/31,
墾丁凱撒大飯店,享9折優惠,2023/01/01,2023/12/30,
欣葉鐘菜,贈【主廚特製壽桃】,2023/01/01,2023/12/31,
欣葉小聚,贈【手工焦糖布丁】,2023/01/01,2023/12/31,
唐點小聚,贈【開運祝壽桃】,2023/01/01,2023/12/31,
福勝亭,享9折優惠,2023/01/01,2023/12/31,
