優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
SHOPLINE,【雙11囤貨趣】眾多品牌刷中信卡贈220元,2023/11/10,2023/11/20,
博客來,"單筆滿2,000元現折200元",2023/11/01,2023/11/30,
蝦皮購物,"單筆滿3,000元，輸入指定序號現折220元",2023/10/01,2023/12/31,
CTMall紅利市集,"*中信卡紅利點數每1,000點折抵NT70元，折抵上限最高為單筆消費金額100%。",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
生活市集,單筆滿999元，輸入指定序號現折280元,2023/10/01,2023/12/31,
ASUS Store,"刷中信卡滿額贈購物金1,000元，再享分期0利率",2023/03/01,2023/12/31,
