優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
勝博殿,最高現折100元,2023/01/01,2023/12/31,
姜滿堂,贈「薄燒豬五花」,2023/01/01,2023/12/31,
涓豆腐,贈「黃金酥炸嫩豆腐」,2023/01/01,2023/12/31,
北村豆腐家,贈「首爾韓式炸雞年糕」,2023/01/01,2023/12/31,
銅盤嚴選韓式烤肉,享95折優惠,2023/01/01,2023/12/31,
釜山宗家,享95折優惠,2023/01/01,2023/12/31,
欣葉日本料理,四人同行贈200元,2023/01/01,2023/12/31,
欣葉呷哺呷哺,贈【特選豬肉盤】,2023/01/01,2023/12/31,
犇 鐵板燒 安和本館,最優享88折優惠,2023/01/01,2023/12/31,
犇 極上 微風信義館,最優享88折優惠,2023/06/01,2023/12/31,
金爸爸,贈【開運祝壽桃】,2023/01/01,2023/12/31,
Mega 50,享85折優惠,2023/01/01,2023/12/31,
帕泰家,贈【蝦醬芥藍】,2023/01/01,2023/12/31,
foodpanda,最優享5折,2023/01/01,2023/12/31,
COLD STONE,第二件5折,2023/01/01,2023/12/31,
Mister Donut,享買四送一優惠,2023/01/01,2023/12/31,
台北凱撒大飯店,享8折優惠,2023/04/01,2023/12/31,
青青燒肉,最優享9折優惠,2023/04/01,2023/12/31,
十色鍋物,最優享7折優惠,2023/04/01,2023/12/31,
